Dataset,Temperatures,MeanSelectedLambda,MeanRealCV,MeanImagCV,MeanTotalCV,MeanResidual,MeanPeakCount
s2022sap,10,2.99768382E-003,1.16135965E+005,1.40981636E+005,2.57117601E+005,1.65344784E+002,2.9000
s2022al,10,1.19064230E-004,9.17333698E+005,6.29298549E+005,1.54663225E+006,4.49592288E+002,3.2000
s2222sap,10,7.69462866E-003,1.92280427E+009,3.01680771E+009,4.93961198E+009,1.47512512E+004,2.4000
s2222al,10,7.55701085E-002,2.61720153E+011,2.93046779E+011,5.54766932E+011,1.86450456E+005,1.6000
s2302sap,10,3.19504574E-002,6.25422228E+008,5.33010923E+008,1.15843315E+009,5.93637172E+003,2.6000
s2302al,10,1.13175339E+000,6.86531071E+012,1.41688870E+013,2.10341977E+013,5.08944870E+005,1.6000
s2322sap,10,4.83593404E-003,7.77174400E+010,8.71763586E+010,1.64893799E+011,4.29438584E+004,1.8000
s2322al,10,2.11622777E-004,2.50651845E+003,4.17409210E+003,6.68061055E+003,3.62906847E+001,2.2000
s2332sap,10,2.01960612E-004,1.25388073E+005,1.32868214E+005,2.58256287E+005,2.34848685E+002,2.6000
s2422sap,10,9.31622777E-004,3.80069631E+003,4.88845072E+004,5.26852035E+004,7.31520368E+001,2.0000
s2422al,10,6.67617830E-002,2.73834569E+012,4.96975533E+012,7.70810102E+012,2.79870706E+005,2.0000
