"Dataset","TemperatureK","ResidualLambda","PaperLambda"
"s2022al","5.1","0.0001","0.1"
"s2022al","7.5","0.0001","0.01"
"s2022al","7.6","0.0001","0.001"
"s2022al","7.7","0.0001","0.1"
"s2022al","8","0.0001","0.001"
"s2022al","8.5","0.0001","0.01"
"s2022al","9.5","0.0001","0.1"
"s2022al","10.2","0.0001","0.001"
"s2022al","10.4","0.0001","0.01"
"s2022al","14.5","0.0001","0.1"
"s2022al","15.3","0.0001","0.1"
"s2022al","15.3","0.0001","0.01"
"s2022al","19.5","0.0001","0.01"
"s2022al","20.4","0.0001","0.01"
"s2022al","20.4","0.0001","0.01"
"s2022al","29.5","0.0001","1"
"s2022al","30.5","0.0001","0.001"
"s2022al","30.5","0.0001","0.1"
"s2022al","39.5","0.0001","0.01"
"s2022al","40.4","0.0001","0.001"
"s2022al","40.4","0.0001","0.01"
"s2022al","49.5","0.0001","0.01"
"s2022al","50.4","0.0001","0.001"
"s2022al","59.5","0.001","1"
"s2022al","60.4","0.0001","0.1"
"s2022al","69.5","0.0001","0.1"
"s2022al","70.5","0.001","0.1"
"s2022al","79.5","0.0001","0.1"
"s2022al","84.5","0.0001","1"
"s2022al","89.5","0.0001","0.001"
"s2022al","90.5","0.0001","0.0001"
"s2022al","94.5","0.0001","0.001"
"s2022al","95.4","0.0001","0.0001"
"s2022al","96.5","0.0001","0.001"
"s2022al","97.4","0.0001","0.01"
"s2022al","99.5","0.0001","0.001"
"s2022al","100.4","0.0001","0.01"
"s2022al","101.5","0.0001","0.0001"
"s2022al","102.4","0.0001","0.0001"
"s2022al","103.3","0.0001","0.01"
"s2022al","104.5","0.0001","0.0001"
"s2022al","105.3","0.0001","0.1"
"s2022al","107.5","0.0001","0.01"
"s2022al","108.4","0.0001","0.1"
"s2022al","109.5","0.0001","0.1"
"s2022al","110.4","0.0001","0.0001"
"s2022al","119.5","0.0001","0.001"
"s2022al","120.4","0.0001","0.001"
"s2022al","129.6","0.0001","0.1"
"s2022al","139.6","0.0001","0.1"
"s2022al","149.5","0.0001","0.01"
"s2022al","150.5","0.01","1"
"s2022al","159.5","0.0001","0.001"
"s2022al","169.5","0.0001","1"
"s2022al","179.6","0.0001","0.1"
"s2022al","180.2","0.001","0.1"
"s2022al","189.6","0.0001","0.1"
"s2022al","190.2","0.1","0.01"
"s2022al","199.5","0.0001","0.001"
"s2022al","200","0.0001","0.001"
"s2022al","209.5","0.0001","1"
"s2022al","210.2","0.0001","0.1"
"s2022al","219.6","0.01","0.1"
"s2022al","220.2","0.0001","0.1"
"s2022al","229.5","0.0001","1"
"s2022al","229.6","0.0001","0.1"
"s2022al","230.5","0.0001","0.1"
"s2022al","239.5","0.0001","0.001"
"s2022al","239.9","0.0001","0.1"
"s2022al","249.5","0.0001","0.1"
"s2022al","250.2","0.0001","0.01"
"s2022al","259.6","0.0001","0.1"
"s2022al","269.5","0.0001","0.0001"
"s2022al","269.8","0.0001","0.1"
"s2022al","269.9","0.0001","0.001"
"s2022al","279.5","0.0001","0.01"
"s2022al","280.1","0.0001","0.001"
"s2022sap","1.48","0.0001","0.001"
"s2022sap","1.49","0.0001","0.01"
"s2022sap","2.07","0.0001","0.01"
"s2022sap","4.53","0.0001","0.1"
"s2022sap","7.57","0.0001","0.1"
"s2022sap","8.49","0.0001","0.1"
"s2022sap","9.53","0.0001","1"
"s2022sap","10.42","0.0001","0.01"
"s2022sap","14.53","0.0001","0.1"
"s2022sap","15.41","0.0001","0.1"
"s2022sap","19.51","0.0001","0.1"
"s2022sap","20.38","0.0001","0.1"
"s2022sap","29.52","0.0001","0.01"
"s2022sap","30.4","0.0001","0.1"
"s2022sap","39.52","0.0001","0.1"
"s2022sap","40.43","0.0001","1"
"s2022sap","49.57","0.0001","1"
"s2022sap","59.55","0.0001","0.001"
"s2022sap","69.53","0.0001","0.1"
