All datasets lambda values summary (15% random-drop CV run)
Generated: 2026-07-13 01:14:41

Dataset,Count,ResidualLambdasUnique,PaperLambdasUnique
s2022sap,69,1.0000E-004,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2022al,77,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2222sap,61,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2222al,112,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2302sap,86,1.0000E-004|1.0000E-003,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2302al,104,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2322sap,69,1.0000E-004|1.0000E-002,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2322al,63,1.0000E-004,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2332sap,220,1.0000E-004|1.0000E+000,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2422sap,114,1.0000E-004|1.0000E-003,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
s2422al,100,1.0000E-004|1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000,1.0000E-003|1.0000E-002|1.0000E-001|1.0000E+000
