"Temperature_K","Sheet","Lambda_ref","Min_delta_pct","Max_delta_pct","MaxAbs_delta_pct"
"1.5","LAMBDA_1p5K","0.0001","-0.049904433348982","0.101990048678552","0.101990048678552"
"2.1","LAMBDA_2p1K","0.0001","-0.0699855669251519","0.145697152965169","0.145697152965169"
"4.5","LAMBDA_4p5K","0.0001","-0.064555777369701","0.131572129126884","0.131572129126884"
"7.6","LAMBDA_7p6K","0.0001","-0.637120376942262","0.62955194134907","0.637120376942262"
"8.5","LAMBDA_8p5K","0.0001","-0.608500245458342","0.828961654996968","0.828961654996968"
"9.5","LAMBDA_9p5K","0.0001","-0.784787559357913","0.979076706485324","0.979076706485324"
"10.4","LAMBDA_10p4K","0.0001","-0.624982152510354","0.846650738920731","0.846650738920731"
"14.5","LAMBDA_14p5K","0.0001","-0.826882005162396","1.13244026665915","1.13244026665915"
"15.4","LAMBDA_15p4K","0.0001","-0.521957653914703","0.926523795767622","0.926523795767622"
"19.5","LAMBDA_19p5K","0.0001","-0.357802417355678","0.80602353317829","0.80602353317829"
"20.4","LAMBDA_20p4K","0.0001","-0.425474059966892","0.776624644107867","0.776624644107867"
"29.5","LAMBDA_29p5K","0.0001","-0.282757677911529","0.813089017205089","0.813089017205089"
"30.4","LAMBDA_30p4K","0.0001","-0.544206977644684","1.07217044736431","1.07217044736431"
"39.5","LAMBDA_39p5K","0.0001","-0.435180032528888","1.02111934647532","1.02111934647532"
"40.4","LAMBDA_40p4K","0.0001","-0.622517668435985","1.10808352405476","1.10808352405476"
"49.6","LAMBDA_49p6K","0.0001","-0.0610979316476027","0.763022385314496","0.763022385314496"
"59.5","LAMBDA_59p5K","0.0001","-0.58803869091894","1.07331243206211","1.07331243206211"
"69.5","LAMBDA_69p5K","0.0001","-0.55946611993066","0.862423391062028","0.862423391062028"
"79.6","LAMBDA_79p6K","0.0001","-0.493989876131449","0.936346334435522","0.936346334435522"
"84.5","LAMBDA_84p5K","0.0001","-0.295262097401433","0.868458550149941","0.868458550149941"
"85.5","LAMBDA_85p5K","0.0001","-0.528919426563488","1.16020759506963","1.16020759506963"
"89.5","LAMBDA_89p5K","0.0001","-0.0589527893140614","0.623270803388802","0.623270803388802"
"94.5","LAMBDA_94p5K","0.0001","-0.310614037622767","0.678881159562821","0.678881159562821"
"95.5","LAMBDA_95p5K","0.0001","-0.00240581027652192","0.0737269671577059","0.0737269671577059"
"96.5","LAMBDA_96p5K","0.0001","0","0.182144441937132","0.182144441937132"
"97.5","LAMBDA_97p5K","0.0001","-0.405035528258902","0.967427735007767","0.967427735007767"
"99.5","LAMBDA_99p5K","0.0001","-0.440338470017886","1.00366977352437","1.00366977352437"
"100.4","LAMBDA_100p4K","0.0001","-0.317119201615828","0.601964900796476","0.601964900796476"
"101.5","LAMBDA_101p5K","0.0001","-0.484770084176045","1.00347155451285","1.00347155451285"
"102.6","LAMBDA_102p6K","0.0001","-0.378667475663763","0.870015698577695","0.870015698577695"
"104.5","LAMBDA_104p5K","0.0001","-0.401959792706023","0.904089652705463","0.904089652705463"
"105.4","LAMBDA_105p4K","0.0001","-0.298009860815403","0.684363840008568","0.684363840008568"
"107.5","LAMBDA_107p5K","0.0001","-0.303697220819619","0.694553460511288","0.694553460511288"
"108.4","LAMBDA_108p4K","0.0001","-0.505275853961839","0.898929059576204","0.898929059576204"
"109.5","LAMBDA_109p5K","0.0001","-0.267158630808613","0.649618880538595","0.649618880538595"
"119.6","LAMBDA_119p6K","0.0001","-0.362044413645034","0.834843605124161","0.834843605124161"
"120.5","LAMBDA_120p5K","0.0001","-0.15825466741141","0.629288668949481","0.629288668949481"
"129.5","LAMBDA_129p5K","0.0001","-0.108480251392601","0.526821995817492","0.526821995817492"
"139.5","LAMBDA_139p5K","0.0001","-0.00875282671639652","0.0183555413682542","0.0183555413682542"
"140.5","LAMBDA_140p5K","0.0001","-0.242834633086891","0.598635213373333","0.598635213373333"
"149.6","LAMBDA_149p6K","0.0001","-0.0178293786865532","0.349066680902673","0.349066680902673"
"159.5","LAMBDA_159p5K","0.0001","-0.259473867177147","0.906241402164613","0.906241402164613"
"160.4","LAMBDA_160p4K","0.0001","-0.26476580691587","0.501904510625873","0.501904510625873"
"169.6","LAMBDA_169p6K","0.0001","-0.0795740763898846","0.459014612231918","0.459014612231918"
"170.4","LAMBDA_170p4K","0.0001","-0.0613628435771515","0.319536615935554","0.319536615935554"
"179.5","LAMBDA_179p5K","0.0001","-0.117374330957679","0.590171465010724","0.590171465010724"
"180.1","LAMBDA_180p1K","0.0001","0","0.191610908828952","0.191610908828952"
"189.6","LAMBDA_189p6K","0.0001","-0.136071083206178","0.206792062433832","0.206792062433832"
