Lambda,MeanAbsResidualAcrossTemps,StdAbsResidualAcrossTemps,MeanRID,MeanCV,MeanVar,Score,IsAggregateResidualBest,IsAggregatePaperBest
1.00000000e-04,88.73129611,19.11713703,1.03973290e+06,5.61440644e+04,2.79490139e+05,2.02859754,1,0
1.99526231e-04,89.04125923,19.11544124,6.43369838e+05,5.57272449e+04,1.16718526e+05,1.05318926,0,0
3.98107171e-04,89.53642465,19.06102762,3.89290783e+05,5.53630637e+04,8.57691763e+04,0.68912204,0,0
7.94328235e-04,90.32450802,18.97304795,2.27267169e+05,5.50375996e+04,4.02751318e+04,0.36304261,0,0
1.58489319e-03,91.43412602,18.87290727,1.31186003e+05,5.47522232e+04,1.55725317e+04,0.17619652,0,0
3.16227766e-03,93.00768549,18.82605014,7.88038351e+04,5.45241735e+04,9.38334314e+03,0.09912409,0,0
6.30957344e-03,95.56308765,19.01295574,4.97142464e+04,5.46285887e+04,4.12971208e+03,0.05389487,0,0
1.25892541e-02,100.38299672,19.82975525,3.27435717e+04,5.58913401e+04,2.37834784e+03,0.05343119,0,1
2.51188643e-02,109.57419755,22.18296954,2.13068385e+04,6.02813236e+04,1.11651124e+03,0.11530398,0,0
5.01187234e-02,124.58723833,27.20156649,1.36389671e+04,7.28876880e+04,6.98693722e+02,0.32891261,0,0
1.00000000e-01,146.01485898,35.51270373,1.01117701e+04,1.11168592e+05,3.36469115e+02,1.00000000,0,0
