TemperatureK,PointCount,Lambda,R_inf,MeanAbsResidual,RMSE,RID,CVReal,CVImag,CVTotal,ResampleVariance,Score,IsResidualBest,IsPaperBest
9.530000,198,1.00000000e-04,74.76187650,104.02014287,221.36988816,4.97392831e+05,7.23227689e+03,6.35421149e+04,7.07743918e+04,1.10935486e+06,2.05112524,1,0
9.530000,198,1.99526231e-04,74.69423569,104.62002403,221.49957751,3.53236506e+05,7.06466940e+03,6.13078430e+04,6.83725124e+04,4.34718878e+05,1.13295823,0,0
9.530000,198,3.98107171e-04,74.27025512,105.36119026,221.69091806,2.34651419e+05,6.89011122e+03,5.94389517e+04,6.63290630e+04,3.68729870e+05,0.81845059,0,0
9.530000,198,7.94328235e-04,73.50574199,106.50507089,221.99788808,1.51900707e+05,6.74235534e+03,5.78909625e+04,6.46333179e+04,1.40940491e+05,0.43334509,0,0
9.530000,198,1.58489319e-03,72.57844752,108.26544161,222.49415114,9.74824218e+04,6.65375157e+03,5.67778168e+04,6.34315684e+04,5.28683255e+04,0.23525848,0,0
9.530000,198,3.16227766e-03,71.36072152,111.15579011,223.34505910,6.45403693e+04,6.74505366e+03,5.57265381e+04,6.24715918e+04,2.74226043e+04,0.13906968,0,0
9.530000,198,6.30957344e-03,69.41321378,116.47122195,224.98358286,4.23945474e+04,7.45708245e+03,5.49653249e+04,6.24224073e+04,1.25342055e+04,0.08005582,0,0
9.530000,198,1.25892541e-02,65.79157159,126.51076672,228.41126874,2.65037508e+04,1.01404077e+04,5.53398475e+04,6.54802552e+04,7.78323350e+03,0.06199704,0,1
9.530000,198,2.51188643e-02,59.90978453,144.14396806,235.56883493,1.44992022e+04,1.88768758e+04,5.81156273e+04,7.69925031e+04,3.61222326e+03,0.10415948,0,0
9.530000,198,5.01187234e-02,52.49434341,171.77598908,250.26837234,8.29557104e+03,4.75118739e+04,6.45194479e+04,1.12031322e+05,2.44628258e+03,0.30490772,0,0
9.530000,198,1.00000000e-01,45.69566709,211.99121276,279.19822565,8.90676340e+03,1.47192610e+05,7.85930427e+04,2.25785653e+05,1.07724823e+03,1.00124963,0,0
14.530000,198,1.00000000e-04,77.13632601,93.51647290,213.84643601,4.12996661e+05,3.80205210e+03,5.05381362e+04,5.43401883e+04,7.59806818e+05,2.02393166,1,0
14.530000,198,1.99526231e-04,76.88240122,94.11930416,213.94727296,2.94721329e+05,3.73893681e+03,4.96793540e+04,5.34182908e+04,2.39960436e+05,1.04186197,0,0
