TemperatureK,PaperLambda,ResidualLambda,FeatureType,FeatureIndex,Tau_s,Freq_Hz,Gamma,PeakRank
9.530000,3.16227766e-03,1.00000000e-06,Peak,104,7.33090966e-06,21710.12200000,9718.53817422,1
9.530000,3.16227766e-03,1.00000000e-06,Shoulder,137,8.31960187e-07,191301.15300000,8830.25403783,0
14.530000,3.16227766e-03,1.00000000e-07,Peak,106,6.42512823e-06,24770.70300000,8862.06370849,1
14.530000,3.16227766e-03,1.00000000e-07,Peak,139,7.29166093e-07,218269.80800000,7818.19385605,2
59.550000,3.16227766e-03,1.00000000e-07,Peak,112,4.32567165e-06,36793.11700000,5942.08806758,1
59.550000,3.16227766e-03,1.00000000e-07,Peak,147,4.30251252e-07,369911.63300000,5187.15707644,2
84.520000,3.16227766e-03,1.00000000e-07,Peak,114,3.79120676e-06,41980.02200000,5093.06225345,1
84.520000,3.16227766e-03,1.00000000e-07,Peak,143,5.60111260e-07,284148.80100000,3989.91113574,2
84.520000,3.16227766e-03,1.00000000e-07,Shoulder,160,1.82569245e-07,871751.11500000,3923.14406288,0
94.520000,3.16227766e-03,1.00000000e-07,Peak,115,3.54927319e-06,44841.55900000,4761.82495387,1
94.520000,3.16227766e-03,1.00000000e-07,Peak,150,3.53027081e-07,450829.27500000,4369.59840281,2
104.550000,3.16227766e-03,1.00000000e-07,Peak,117,3.11073739e-06,51163.09200000,4560.91128776,1
104.550000,3.16227766e-03,1.00000000e-07,Peak,152,3.09408287e-07,514384.87500000,4413.71407045,2
180.090000,3.16227766e-03,1.00000000e-04,Peak,120,2.55240291e-06,62354.94500000,3758.03635158,1
180.090000,3.16227766e-03,1.00000000e-04,Peak,154,2.71178879e-07,586900.21700000,2880.39495098,2
199.600000,3.16227766e-03,3.16227766e-07,Peak,48,2.94366144e-04,540.67000000,349.59156907,3
199.600000,3.16227766e-03,3.16227766e-07,Peak,123,2.09428174e-06,75995.00100000,3126.35780964,2
199.600000,3.16227766e-03,3.16227766e-07,Peak,156,2.37672963e-07,669638.40100000,4405.41036476,1
209.570000,3.16227766e-03,1.00000000e-07,Peak,122,2.23703690e-06,71145.42600000,4076.04463231,1
209.570000,3.16227766e-03,1.00000000e-07,Peak,156,2.37672963e-07,669638.40100000,3581.81409464,2
239.940000,3.16227766e-03,1.00000000e-07,Peak,124,1.96063644e-06,81175.14300000,2367.53280223,1
239.940000,3.16227766e-03,1.00000000e-07,Peak,160,1.82569245e-07,871751.11500000,2246.17195784,2
