Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
5.100000,1.00000000e-02,2.250358e+06,4.192758e+06,3.783143e+05,1.043349e-01,2
7.500000,1.00000000e-02,6.454310e+05,1.946118e+06,2.297186e+05,1.069048e-01,2
7.600000,1.00000000e-02,2.287055e+05,1.926006e+06,2.363860e+05,1.048449e-01,2
7.700000,1.00000000e-02,6.003974e+05,1.807156e+06,1.475237e+05,1.806854e-01,2
8.000000,1.00000000e-02,1.635843e+05,1.685255e+06,2.699008e+05,7.569464e-02,3
8.500000,1.00000000e-02,7.972008e+05,1.979554e+06,1.856544e+05,1.059655e-01,3
10.400000,1.00000000e-02,9.052613e+05,2.071911e+06,2.246884e+05,1.678179e-01,2
15.300000,1.00000000e-02,6.652189e+05,1.326456e+06,1.668960e+05,1.879710e-01,3
20.400000,1.00000000e-02,5.489837e+05,7.152806e+05,5.825577e+04,1.705754e-01,2
30.500000,1.00000000e-02,2.029476e+04,2.165976e+05,3.254890e+04,8.508361e-02,2
