Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2222Al.xlsx
Generated: 13-Jul-2026 07:59:44
Total temperatures: 112

Aggregate summary
Mean selected lambda: 2.03592778E-002
Mean real-part CV: 3.11828122E+010
Mean imag-part CV: 3.39816795E+010
Mean total CV: 6.51644916E+010
Mean absolute residual: 2.96272595E+004
Mean peak count: 2.6071
Max peak count: 5

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.600000,1.00000000E-002,3.77022387E+011,3.15562380E+011,6.92584767E+011,2.03070912E+005,2
1.600000,1.00000000E-002,3.77022387E+011,3.15562380E+011,6.92584767E+011,2.03070912E+005,2
1.700000,3.16227766E-002,2.91556134E+011,1.76918691E+011,4.68474825E+011,1.69169627E+005,1
1.700000,3.16227766E-002,2.91556134E+011,1.76918691E+011,4.68474825E+011,1.69169627E+005,1
1.800000,3.16227766E-001,2.15156428E+011,4.85227490E+011,7.00383918E+011,2.21983284E+005,1
1.800000,3.16227766E-001,2.15156428E+011,4.85227490E+011,7.00383918E+011,2.21983284E+005,1
1.900000,1.00000000E-002,2.38286816E+011,2.81290282E+011,5.19577098E+011,1.82723126E+005,2
1.900000,1.00000000E-002,2.38286816E+011,2.81290282E+011,5.19577098E+011,1.82723126E+005,2
2.000000,1.00000000E-002,1.86578998E+011,2.06235054E+011,3.92814052E+011,1.55305331E+005,2
2.000000,1.00000000E-002,1.86578998E+011,2.06235054E+011,3.92814052E+011,1.55305331E+005,2
2.100000,1.00000000E-002,7.65078369E+010,6.28279352E+010,1.39335772E+011,1.07486901E+005,2
2.100000,1.00000000E-002,7.65078369E+010,6.28279352E+010,1.39335772E+011,1.07486901E+005,2
2.200000,1.00000000E-001,1.42983223E+011,2.00744713E+011,3.43727936E+011,1.41864301E+005,1
2.200000,1.00000000E-001,1.42983223E+011,2.00744713E+011,3.43727936E+011,1.41864301E+005,1
2.300000,3.16227766E-003,1.29739998E+011,1.03294821E+011,2.33034819E+011,1.18059116E+005,2
2.300000,3.16227766E-003,1.29739998E+011,1.03294821E+011,2.33034819E+011,1.18059116E+005,2
2.500000,1.00000000E-002,5.07218494E+010,3.32197475E+010,8.39415970E+010,8.46184185E+004,2
2.500000,1.00000000E-002,5.07218494E+010,3.32197475E+010,8.39415970E+010,8.46184185E+004,2
4.600000,1.00000000E-001,6.34166897E+009,5.36074253E+009,1.17024115E+010,3.58545252E+004,1
4.600000,1.00000000E-001,6.34166897E+009,5.36074253E+009,1.17024115E+010,3.58545252E+004,1
4.900000,1.00000000E-001,6.34315827E+009,7.98306478E+009,1.43262231E+010,3.63362015E+004,1
4.900000,1.00000000E-001,6.34315827E+009,7.98306478E+009,1.43262231E+010,3.63362015E+004,1
5.200000,1.00000000E-003,5.13226808E+009,8.42982496E+009,1.35620930E+010,3.13557748E+004,2
5.200000,1.00000000E-003,5.13226808E+009,8.42982496E+009,1.35620930E+010,3.13557748E+004,2
5.500000,3.16227766E-004,1.14708981E+010,7.82372185E+009,1.92946200E+010,3.65340196E+004,2
5.500000,3.16227766E-004,1.14708981E+010,7.82372185E+009,1.92946200E+010,3.65340196E+004,2
7.500000,1.00000000E-003,2.23616035E+009,1.64746012E+009,3.88362046E+009,1.77407301E+004,4
7.500000,1.00000000E-003,2.23616035E+009,1.64746012E+009,3.88362046E+009,1.77407301E+004,4
8.000000,1.00000000E-001,1.55927155E+009,1.41308413E+009,2.97235568E+009,1.87700078E+004,1
8.000000,1.00000000E-001,1.55927155E+009,1.41308413E+009,2.97235568E+009,1.87700078E+004,1
8.500000,1.00000000E-008,1.85193664E+009,2.32110707E+009,4.17304372E+009,1.75271372E+004,3
8.500000,1.00000000E-008,1.85193664E+009,2.32110707E+009,4.17304372E+009,1.75271372E+004,3
10.100000,1.00000000E-002,9.41234797E+008,1.07306598E+009,2.01430077E+009,1.37203329E+004,2
10.100000,1.00000000E-002,9.41234797E+008,1.07306598E+009,2.01430077E+009,1.37203329E+004,2
14.700000,3.16227766E-006,4.69063384E+008,4.36089698E+008,9.05153082E+008,8.58955012E+003,3
14.700000,3.16227766E-006,4.69063384E+008,4.36089698E+008,9.05153082E+008,8.58955012E+003,3
15.500000,1.00000000E-003,3.20783741E+008,4.90385093E+008,8.11168834E+008,8.76140832E+003,2
15.500000,1.00000000E-003,3.20783741E+008,4.90385093E+008,8.11168834E+008,8.76140832E+003,2
20.100000,1.00000000E-005,2.40742790E+008,2.21431298E+008,4.62174088E+008,6.12092775E+003,3
20.100000,1.00000000E-005,2.40742790E+008,2.21431298E+008,4.62174088E+008,6.12092775E+003,3
30.000000,1.00000000E-004,1.13799745E+008,6.54461969E+007,1.79245942E+008,3.98793642E+003,2
30.000000,1.00000000E-004,1.13799745E+008,6.54461969E+007,1.79245942E+008,3.98793642E+003,2
40.000000,3.16227766E-004,4.59610470E+007,3.63532201E+007,8.23142671E+007,2.74329124E+003,2
40.000000,3.16227766E-004,4.59610470E+007,3.63532201E+007,8.23142671E+007,2.74329124E+003,2
50.000000,1.00000000E-008,2.52054269E+007,2.04456149E+007,4.56510419E+007,2.20298101E+003,5
50.000000,1.00000000E-008,2.52054269E+007,2.04456149E+007,4.56510419E+007,2.20298101E+003,5
60.100000,1.00000000E-004,1.55898959E+007,1.07472684E+007,2.63371643E+007,1.68950684E+003,2
60.100000,1.00000000E-004,1.55898959E+007,1.07472684E+007,2.63371643E+007,1.68950684E+003,2
70.100000,3.16227766E-006,7.13912346E+006,9.62817045E+006,1.67672939E+007,1.40771480E+003,3
70.100000,3.16227766E-006,7.13912346E+006,9.62817045E+006,1.67672939E+007,1.40771480E+003,3
80.100000,3.16227766E-004,7.12799086E+006,5.04982343E+006,1.21778143E+007,1.16593597E+003,2
80.100000,3.16227766E-004,7.12799086E+006,5.04982343E+006,1.21778143E+007,1.16593597E+003,2
85.500000,1.00000000E-008,4.85161923E+006,4.25763930E+006,9.10925853E+006,1.03578506E+003,5
85.500000,1.00000000E-008,4.85161923E+006,4.25763930E+006,9.10925853E+006,1.03578506E+003,5
90.000000,1.00000000E-005,3.29858158E+006,4.88083945E+006,8.17942103E+006,9.85604867E+002,3
90.000000,1.00000000E-005,3.29858158E+006,4.88083945E+006,8.17942103E+006,9.85604867E+002,3
94.800000,1.00000000E-003,4.14446466E+006,3.85649226E+006,8.00095691E+006,1.00463955E+003,2
94.800000,1.00000000E-003,4.14446466E+006,3.85649226E+006,8.00095691E+006,1.00463955E+003,2
96.500000,3.16227766E-005,4.30262312E+006,2.59538903E+006,6.89801215E+006,9.10281249E+002,3
96.500000,3.16227766E-005,4.30262312E+006,2.59538903E+006,6.89801215E+006,9.10281249E+002,3
97.400000,1.00000000E-004,3.40053275E+006,3.22546231E+006,6.62599506E+006,8.96753460E+002,3
97.400000,1.00000000E-004,3.40053275E+006,3.22546231E+006,6.62599506E+006,8.96753460E+002,3
102.000000,3.16227766E-006,3.09661991E+006,2.57691955E+006,5.67353947E+006,8.60191695E+002,3
102.000000,3.16227766E-006,3.09661991E+006,2.57691955E+006,5.67353947E+006,8.60191695E+002,3
103.500000,1.00000000E-004,2.40151196E+006,3.53281452E+006,5.93432648E+006,8.46175664E+002,2
103.500000,1.00000000E-004,2.40151196E+006,3.53281452E+006,5.93432648E+006,8.46175664E+002,2
