Paper vs minimum-residual DRT comparison
Dataset: S2222Al.xlsx
Generated: 13-Jul-2026 00:07:45
Total temperatures: 112

Bootstrap repeats for variance metric: 1

Drop ratio for sensitivity metric: 0.15
Sensitivity repeats per lambda: 1

Aggregate comparison
Mean peaks (residual method): 2.6964
Mean peaks (paper method)   : 1.5714
Mean peak delta abs |paper-res| : 1.1250
Median peak delta abs |paper-res|: 1.0000
Temps paper has more peaks      : 0
Temps equal peaks               : 31
Temps paper has fewer peaks     : 81

Mean residual-change sensitivity % (residual-selected lambda): 1.14873915E+001
Mean residual-change sensitivity % (paper-selected lambda)   : 2.81754161E+000
Mean sensitivity delta abs % |paper-res|                    : 8.90119616E+000
Median sensitivity delta abs % |paper-res|                  : 7.47979218E+000
Temps paper lower sensitivity                             : 102
Temps equal sensitivity                                   : 0
Temps paper higher sensitivity                            : 10

Per-temperature detail
TemperatureK,ResidualLambda,PaperLambda,ResidualPeaks,PaperPeaks,PeakDeltaAbs_PaperMinusRes,ResidualSensitivity,PaperSensitivity,SensitivityDeltaAbs_PaperMinusRes
1.600000,1.00000000E-004,1.00000000E-002,2,2,0,3.75345253E+001,2.58051682E+000,3.49540085E+001
1.600000,1.00000000E-004,1.00000000E-002,2,2,0,1.33330956E+001,1.14849299E+000,1.21846026E+001
1.700000,1.00000000E-002,1.00000000E-001,2,1,1,1.16989790E+001,5.53962618E+000,6.15935282E+000
1.700000,1.00000000E-002,1.00000000E+000,2,1,1,1.29831306E+001,8.37752995E-001,1.21453776E+001
1.800000,1.00000000E-004,1.00000000E-002,3,2,1,2.90767239E+001,6.74366100E+000,2.23330629E+001
1.800000,1.00000000E-004,1.00000000E-001,3,1,2,1.24478639E+001,7.67377243E+000,4.77409147E+000
1.900000,1.00000000E-004,1.00000000E+000,2,1,1,1.28246858E+001,4.15500809E+000,8.66967771E+000
1.900000,1.00000000E-004,1.00000000E+000,2,1,1,1.99802686E+001,7.30972986E-001,1.92492956E+001
2.000000,1.00000000E-003,1.00000000E-001,2,1,1,8.76201245E+000,8.42378473E+000,3.38227720E-001
2.000000,1.00000000E-003,1.00000000E-002,2,2,0,1.84979542E+001,1.46546942E+000,1.70324848E+001
2.100000,1.00000000E-004,1.00000000E+000,3,1,2,2.00655603E+001,2.74764405E-001,1.97907959E+001
2.100000,1.00000000E-004,1.00000000E-002,3,2,1,1.18619310E+001,2.39794230E-001,1.16221368E+001
2.200000,1.00000000E-002,1.00000000E+000,2,1,1,1.32300612E+001,1.09658839E+001,2.26417730E+000
2.200000,1.00000000E-002,1.00000000E+000,2,1,1,1.36692346E+001,6.93384057E+000,6.73539403E+000
2.300000,1.00000000E-003,1.00000000E-002,2,2,0,1.07450651E+001,3.52273505E+000,7.22233005E+000
2.300000,1.00000000E-003,1.00000000E-001,2,1,1,1.06734478E+001,4.49732357E+000,6.17612423E+000
2.500000,1.00000000E-003,1.00000000E-001,2,2,0,1.03312119E+001,2.33359231E+000,7.99761959E+000
2.500000,1.00000000E-003,1.00000000E-001,2,2,0,7.35106993E+000,2.64289650E-001,7.08678028E+000
4.600000,1.00000000E-004,1.00000000E+000,3,1,2,3.85092710E-001,3.71546085E+000,3.33036814E+000
4.600000,1.00000000E-004,1.00000000E-002,3,3,0,1.30307501E+001,3.34921497E-001,1.26958286E+001
4.900000,1.00000000E-004,1.00000000E+000,3,1,2,2.65186287E+001,1.53066841E+000,2.49879603E+001
4.900000,1.00000000E-004,1.00000000E+000,3,1,2,1.32147448E+001,1.45068308E+000,1.17640617E+001
5.200000,1.00000000E-003,1.00000000E+000,2,1,1,1.15394472E+001,9.63527168E+000,1.90417552E+000
5.200000,1.00000000E-003,1.00000000E-001,2,1,1,5.81661313E+000,4.36382754E+000,1.45278559E+000
5.500000,1.00000000E-004,1.00000000E+000,2,1,1,4.15760465E+001,5.21272096E-001,4.10547744E+001
5.500000,1.00000000E-004,1.00000000E+000,2,1,1,1.32123682E+001,7.61150143E+000,5.60086677E+000
7.500000,1.00000000E-004,1.00000000E-001,4,1,3,1.15124943E+001,4.94028476E-001,1.10184658E+001
7.500000,1.00000000E-004,1.00000000E+000,4,1,3,1.06158437E+001,3.24560665E-001,1.02912830E+001
8.000000,1.00000000E-004,1.00000000E+000,4,1,3,1.50688635E+001,9.89934986E-001,1.40789285E+001
8.000000,1.00000000E-004,1.00000000E+000,4,1,3,1.81314335E+001,2.23245058E+000,1.58989829E+001
8.500000,1.00000000E-004,1.00000000E+000,2,1,1,1.35185782E+001,1.82067368E+000,1.16979045E+001
8.500000,1.00000000E-004,1.00000000E-002,2,2,0,1.42250525E+001,4.44501125E-001,1.37805514E+001
10.100000,1.00000000E-004,1.00000000E+000,3,1,2,7.36292635E+000,2.89112052E+000,4.47180583E+000
10.100000,1.00000000E-004,1.00000000E-001,3,1,2,1.37221696E+000,2.12977134E+000,7.57554380E-001
14.700000,1.00000000E-004,1.00000000E-002,2,2,0,1.37701316E+001,3.46896543E+000,1.03011662E+001
14.700000,1.00000000E-004,1.00000000E+000,2,1,1,4.83281876E+000,7.59821046E-002,4.75683666E+000
15.500000,1.00000000E-004,1.00000000E+000,4,1,3,3.33995250E+000,6.03461845E+000,2.69466595E+000
15.500000,1.00000000E-004,1.00000000E-002,4,2,2,2.70924709E+001,3.41890611E+000,2.36735648E+001
20.100000,1.00000000E-004,1.00000000E+000,2,1,1,5.74772084E+000,5.23860830E+000,5.09112540E-001
20.100000,1.00000000E-004,1.00000000E+000,2,1,1,9.57245016E+000,1.87741471E+000,7.69503545E+000
30.000000,1.00000000E-004,1.00000000E-001,2,1,1,1.38185331E+001,3.79975950E+000,1.00187736E+001
30.000000,1.00000000E-004,1.00000000E-002,2,2,0,1.22414127E+001,4.73144235E+000,7.50997035E+000
40.000000,1.00000000E-004,1.00000000E-001,2,1,1,1.01007989E+001,2.48347522E+000,7.61732368E+000
40.000000,1.00000000E-004,1.00000000E-001,2,1,1,8.50569157E-001,3.72064408E+000,2.87007492E+000
50.000000,1.00000000E-004,1.00000000E-001,3,1,2,5.47421663E+000,6.01503034E-002,5.41406633E+000
50.000000,1.00000000E-004,1.00000000E-001,3,1,2,1.36611021E+001,3.68346137E+000,9.97764073E+000
60.100000,1.00000000E-004,1.00000000E-003,2,2,0,1.17941934E+001,7.21266061E-001,1.10729273E+001
60.100000,1.00000000E-004,1.00000000E-001,2,1,1,2.37839860E+001,1.65841176E+000,2.21255742E+001
70.100000,1.00000000E-004,1.00000000E-003,2,2,0,1.17186915E+001,2.25966659E+000,9.45902491E+000
70.100000,1.00000000E-004,1.00000000E-001,2,1,1,1.53725802E+001,5.42836429E-001,1.48297438E+001
80.100000,1.00000000E-004,1.00000000E-001,2,1,1,2.41452476E+001,2.50625027E+000,2.16389973E+001
80.100000,1.00000000E-004,1.00000000E-002,2,2,0,1.19768594E+001,1.90574787E+000,1.00711115E+001
85.500000,1.00000000E-004,1.00000000E-003,4,3,1,1.16012089E+001,6.12037622E+000,5.48083268E+000
85.500000,1.00000000E-004,1.00000000E-002,4,3,1,1.08014724E+001,4.39421123E+000,6.40726117E+000
90.000000,1.00000000E-004,1.00000000E-002,4,2,2,1.24127906E+001,1.90955381E+000,1.05032368E+001
90.000000,1.00000000E-004,1.00000000E-001,4,1,3,8.08116106E+000,1.56193816E-001,7.92496724E+000
94.800000,1.00000000E-004,1.00000000E-002,2,2,0,5.95999699E+000,3.60881460E+000,2.35118239E+000
94.800000,1.00000000E-004,1.00000000E-002,2,2,0,1.43359479E+001,9.46921809E-001,1.33890261E+001
96.500000,1.00000000E-004,1.00000000E-001,3,1,2,2.20906367E+000,2.26969494E+000,6.06312700E-002
96.500000,1.00000000E-004,1.00000000E-001,3,1,2,8.59334891E+000,6.07468792E+000,2.51866099E+000
97.400000,1.00000000E-004,1.00000000E-001,3,1,2,2.36872186E+001,5.21071305E-002,2.36351115E+001
97.400000,1.00000000E-004,1.00000000E-001,3,1,2,1.13182742E+001,6.03324628E-001,1.07149496E+001
102.000000,1.00000000E-004,1.00000000E+000,3,1,2,1.07849747E+001,1.72050580E+000,9.06446890E+000
102.000000,1.00000000E-004,1.00000000E-002,3,2,1,8.15092482E+000,3.03927850E+000,5.11164632E+000
103.500000,1.00000000E-004,1.00000000E-002,2,2,0,1.23894703E+001,2.96974240E+000,9.41972790E+000
103.500000,1.00000000E-004,1.00000000E-001,2,1,1,6.20736133E+000,1.07493953E-001,6.09986738E+000
105.500000,1.00000000E-004,1.00000000E-002,3,3,0,5.44901602E+000,3.11648968E+000,2.33252634E+000
105.500000,1.00000000E-004,1.00000000E-002,3,3,0,1.67321933E+001,2.32302869E+000,1.44091646E+001
108.500000,1.00000000E-004,1.00000000E-001,3,1,2,3.64119539E+000,7.83286043E-001,2.85790935E+000
108.500000,1.00000000E-004,1.00000000E-002,3,2,1,8.15129653E+000,7.24238832E+000,9.08908210E-001
110.100000,1.00000000E-004,1.00000000E-001,2,1,1,2.16036386E+001,3.81915242E-001,2.12217234E+001
110.100000,1.00000000E-004,1.00000000E-002,2,2,0,1.19100233E+001,5.66537734E-001,1.13434856E+001
120.100000,1.00000000E-004,1.00000000E-003,2,2,0,1.13867566E+001,6.85728741E+000,4.52946919E+000
120.100000,1.00000000E-004,1.00000000E-003,2,2,0,1.08243918E+001,6.04436001E+000,4.78003179E+000
130.100000,1.00000000E-004,1.00000000E-002,3,2,1,1.03466542E+001,1.43853089E+000,8.90812331E+000
130.100000,1.00000000E-004,1.00000000E-001,3,1,2,7.99099810E+000,2.59874524E+000,5.39225286E+000
140.100000,1.00000000E-004,1.00000000E-002,4,2,2,5.15719350E+000,3.17999817E+000,1.97719533E+000
140.100000,1.00000000E-004,1.00000000E-002,4,2,2,1.48450415E+001,2.22055882E+000,1.26244827E+001
150.100000,1.00000000E-004,1.00000000E-002,4,2,2,2.06164702E+000,2.60075991E-001,1.80157103E+000
150.100000,1.00000000E-004,1.00000000E-002,4,2,2,9.40958632E+000,4.02780289E+000,5.38178343E+000
160.100000,1.00000000E-004,1.00000000E-001,3,1,2,2.06066472E+001,3.85091417E+000,1.67557330E+001
160.100000,1.00000000E-004,1.00000000E-002,3,3,0,1.14999345E+001,2.65754006E-001,1.12341805E+001
170.100000,1.00000000E-004,1.00000000E-003,2,2,0,1.15297108E+001,4.07195847E+000,7.45775233E+000
170.100000,1.00000000E-004,1.00000000E-001,2,1,1,9.31911568E+000,2.19752217E+000,7.12159351E+000
179.900000,1.00000000E-001,1.00000000E+000,1,1,0,1.87498542E+000,7.80698015E-001,1.09428741E+000
179.900000,1.00000000E-001,1.00000000E+000,1,1,0,8.71401025E+000,2.75144872E+000,5.96256153E+000
180.100000,1.00000000E-004,1.00000000E-002,3,2,1,3.25644223E+000,3.58532735E+000,3.28885120E-001
180.100000,1.00000000E-004,1.00000000E-002,3,2,1,1.70932162E+001,8.09947049E-001,1.62832692E+001
190.000000,1.00000000E-004,1.00000000E+000,3,1,2,1.84878693E+000,1.28283631E+000,5.65950620E-001
190.000000,1.00000000E-004,1.00000000E-002,3,3,0,9.35221504E-001,9.42210766E-001,6.98926200E-003
190.100000,1.00000000E-004,1.00000000E-001,4,1,3,1.97691557E+001,4.60490168E+000,1.51642540E+001
190.100000,1.00000000E-004,1.00000000E-003,4,2,2,1.06812179E+001,1.82688013E+000,8.85433777E+000
200.000000,1.00000000E-004,1.00000000E-003,4,2,2,1.01524354E+001,1.94817907E+000,8.20425633E+000
200.000000,1.00000000E-004,1.00000000E-001,4,1,3,9.15087457E+000,3.07387334E+000,6.07700123E+000
210.000000,1.00000000E-004,1.00000000E-002,3,2,1,1.25799880E+001,7.92725003E+000,4.65273797E+000
210.000000,1.00000000E-004,1.00000000E-003,3,3,0,5.18312275E+000,5.76185231E+000,5.78729560E-001
219.900000,1.00000000E-004,1.00000000E-002,3,2,1,4.86747258E+000,2.48366113E+000,2.38381145E+000
219.900000,1.00000000E-004,1.00000000E-002,3,2,1,1.36045477E+001,2.93171501E-001,1.33113762E+001
220.000000,1.00000000E-004,1.00000000E-003,2,2,0,1.19338785E+000,1.72422489E+000,5.30837040E-001
220.000000,1.00000000E-004,1.00000000E-002,2,2,0,8.79220612E+000,3.51782279E+000,5.27438333E+000
230.000000,1.00000000E-004,1.00000000E-002,3,2,1,1.60448251E+001,2.65683407E+000,1.33879910E+001
230.000000,1.00000000E-004,1.00000000E-001,3,1,2,9.21728322E+000,2.08773603E+000,7.12954719E+000
240.000000,1.00000000E-004,1.00000000E-003,2,2,0,8.48169084E+000,2.14859629E+000,6.33309455E+000
240.000000,1.00000000E-004,1.00000000E-003,2,2,0,9.43320180E+000,3.92924494E-001,9.04027731E+000
249.900000,1.00000000E-004,1.00000000E-003,3,2,1,8.90530196E+000,7.35952136E+000,1.54578060E+000
249.900000,1.00000000E-004,1.00000000E-003,3,2,1,5.78318556E+000,3.30332679E+000,2.47985877E+000
250.000000,1.00000000E-004,1.00000000E-003,3,2,1,1.16210722E+000,2.95876197E+000,1.79665475E+000
250.000000,1.00000000E-004,1.00000000E-002,3,2,1,1.33988040E+001,1.23182728E+000,1.21669767E+001
259.900000,1.00000000E-004,1.00000000E-001,3,1,2,3.50069279E+000,2.37181569E+000,1.12887710E+000
259.900000,1.00000000E-004,1.00000000E-002,3,2,1,5.94873234E+000,3.78376230E+000,2.16497004E+000
270.000000,1.00000000E-004,1.00000000E-002,3,2,1,1.60220627E+001,4.92485062E-001,1.55295776E+001
270.000000,1.00000000E-004,1.00000000E-001,3,1,2,8.53297895E+000,1.05318677E+000,7.47979218E+000
