Paper vs minimum-residual DRT comparison
Dataset: S2222Sap.xlsx
Generated: 12-Jul-2026 23:54:51
Total temperatures: 61

Bootstrap repeats for variance metric: 1

Drop ratio for sensitivity metric: 0.15
Sensitivity repeats per lambda: 1

Aggregate comparison
Mean peaks (residual method): 2.5410
Mean peaks (paper method)   : 1.4262
Mean peak delta abs |paper-res| : 1.1475
Median peak delta abs |paper-res|: 1.0000
Temps paper has more peaks      : 1
Temps equal peaks               : 14
Temps paper has fewer peaks     : 46

Mean residual-change sensitivity % (residual-selected lambda): 7.50524388E+000
Mean residual-change sensitivity % (paper-selected lambda)   : 2.52067735E+000
Mean sensitivity delta abs % |paper-res|                    : 5.09904552E+000
Median sensitivity delta abs % |paper-res|                  : 4.28003963E+000
Temps paper lower sensitivity                             : 58
Temps equal sensitivity                                   : 0
Temps paper higher sensitivity                            : 3

Per-temperature detail
TemperatureK,ResidualLambda,PaperLambda,ResidualPeaks,PaperPeaks,PeakDeltaAbs_PaperMinusRes,ResidualSensitivity,PaperSensitivity,SensitivityDeltaAbs_PaperMinusRes
1.510000,1.00000000E-003,1.00000000E+000,1,1,0,4.53062875E+000,2.45658183E+000,2.07404692E+000
1.530000,1.00000000E-004,1.00000000E+000,3,1,2,1.62718324E+001,4.34346685E-001,1.58374857E+001
2.180000,1.00000000E-004,1.00000000E-001,3,1,2,1.23844920E+001,5.11445645E+000,7.27003555E+000
4.540000,1.00000000E-004,1.00000000E+000,2,1,1,1.07407813E+001,5.84592465E-002,1.06823221E+001
7.560000,1.00000000E-004,1.00000000E+000,4,1,3,9.26517726E+000,2.36637113E-003,9.26281089E+000
9.510000,1.00000000E-004,1.00000000E+000,2,1,1,1.36161818E+001,8.43854437E+000,5.17763743E+000
10.380000,1.00000000E-004,1.00000000E-001,2,1,1,6.48810550E+000,4.21778971E+000,2.27031579E+000
14.540000,1.00000000E-004,1.00000000E-003,3,3,0,6.13046494E+000,8.86447880E-001,5.24401706E+000
15.420000,1.00000000E-004,1.00000000E+000,2,1,1,1.07235357E+001,1.45419138E+000,9.26934432E+000
19.570000,1.00000000E-004,1.00000000E-002,3,1,2,4.27831381E+000,1.51551580E+000,2.76279801E+000
20.430000,1.00000000E-004,1.00000000E+000,4,1,3,1.11004042E+001,7.73442199E-001,1.03269620E+001
29.550000,1.00000000E-004,1.00000000E-001,2,1,1,1.85570998E+001,3.86843171E-001,1.81702566E+001
30.490000,1.00000000E-004,1.00000000E-003,2,2,0,9.88661424E+000,3.47082498E+000,6.41578926E+000
39.520000,1.00000000E-004,1.00000000E-001,3,1,2,9.97268708E+000,6.21570927E+000,3.75697781E+000
40.430000,1.00000000E-004,1.00000000E+000,3,1,2,5.24461617E+000,3.93504416E-001,4.85111175E+000
49.520000,1.00000000E-004,1.00000000E+000,2,1,1,9.86585045E+000,3.05314720E+000,6.81270325E+000
50.460000,1.00000000E-004,1.00000000E-002,4,1,3,1.24903982E+001,5.05093828E+000,7.43945992E+000
59.550000,1.00000000E-004,1.00000000E-003,3,3,0,5.17825481E+000,2.95322306E+000,2.22503175E+000
60.490000,1.00000000E-004,1.00000000E-002,3,1,2,8.02225161E+000,2.45782655E+000,5.56442506E+000
69.570000,1.00000000E-004,1.00000000E-001,2,1,1,1.09531889E+000,9.63186298E-001,1.32132592E-001
79.570000,1.00000000E-004,1.00000000E-001,3,1,2,9.08728201E+000,1.48594297E+000,7.60133904E+000
84.520000,1.00000000E-004,1.00000000E-001,3,1,2,1.58733813E+001,1.20108851E+000,1.46722928E+001
85.430000,1.00000000E-004,1.00000000E-001,2,1,1,7.76023053E+000,1.85044866E+000,5.90978187E+000
89.550000,1.00000000E-004,1.00000000E-003,3,2,1,8.37791203E+000,4.09787240E+000,4.28003963E+000
94.550000,1.00000000E-004,1.00000000E-001,3,1,2,5.58859286E+000,4.94393675E+000,6.44656110E-001
96.510000,1.00000000E-004,1.00000000E-003,4,2,2,9.75794050E+000,6.41971294E+000,3.33822756E+000
97.440000,1.00000000E-004,1.00000000E-002,2,1,1,1.09387956E+001,5.97602563E+000,4.96276997E+000
99.560000,1.00000000E-004,1.00000000E-003,2,2,0,3.69040189E+000,3.26377961E+000,4.26622280E-001
101.560000,1.00000000E-004,1.00000000E-002,3,2,1,6.99706042E+000,2.01694662E+000,4.98011380E+000
102.520000,1.00000000E-004,1.00000000E-003,2,2,0,2.85755189E+000,7.65017394E-002,2.78105015E+000
104.540000,1.00000000E-004,1.00000000E-003,3,2,1,7.09434805E+000,1.73310996E-001,6.92103705E+000
105.450000,1.00000000E-004,1.00000000E-001,3,1,2,1.73063738E+001,2.71309836E-001,1.70350640E+001
107.510000,1.00000000E-004,1.00000000E-001,2,1,1,8.09388274E+000,2.56889431E-001,7.83699331E+000
108.410000,1.00000000E-004,1.00000000E-003,3,2,1,8.84738230E+000,6.68659965E+000,2.16078265E+000
109.570000,1.00000000E-004,1.00000000E-003,2,2,0,5.67923561E+000,3.30249518E+000,2.37674043E+000
119.570000,1.00000000E-004,1.00000000E-003,2,2,0,8.66310496E+000,5.13247039E+000,3.53063457E+000
129.540000,1.00000000E-004,1.00000000E-002,3,1,2,1.11732897E+001,3.66356577E+000,7.50972393E+000
139.520000,1.00000000E-004,1.00000000E-003,4,2,2,3.50966968E+000,1.65336471E+000,1.85630497E+000
140.480000,1.00000000E-004,1.00000000E-002,2,1,1,5.67307620E+000,3.82941949E+000,1.84365671E+000
149.570000,1.00000000E-004,1.00000000E-001,2,1,1,5.34791768E+000,5.97526287E+000,6.27345190E-001
159.530000,1.00000000E-004,1.00000000E+000,2,1,1,1.10702454E+001,4.54416661E+000,6.52607879E+000
169.570000,1.00000000E-004,1.00000000E-001,1,2,1,1.07223670E+001,3.79597552E+000,6.92639148E+000
179.560000,1.00000000E-004,1.00000000E+000,2,1,1,5.73790518E+000,3.55446258E-001,5.38245892E+000
189.570000,1.00000000E-004,1.00000000E+000,2,1,1,4.92051032E+000,1.23133391E+000,3.68917641E+000
199.530000,1.00000000E-004,1.00000000E+000,3,1,2,8.76429591E+000,3.99649207E-001,8.36464670E+000
200.460000,1.00000000E-004,1.00000000E-003,2,2,0,9.07351448E+000,3.29988368E+000,5.77363080E+000
209.540000,1.00000000E-004,1.00000000E-001,3,3,0,3.01875944E-002,2.30608254E+000,2.27589495E+000
210.480000,1.00000000E-001,1.00000000E+000,1,1,0,6.49744633E+000,1.37727216E+000,5.12017417E+000
219.530000,1.00000000E-002,1.00000000E+000,1,1,0,4.47334475E+000,2.12339651E+000,2.34994824E+000
229.550000,1.00000000E-004,1.00000000E-001,3,1,2,3.51874873E+000,1.44796612E+000,2.07078261E+000
230.490000,1.00000000E-004,1.00000000E-002,3,2,1,2.79602430E+000,1.33701178E+000,1.45901252E+000
239.530000,1.00000000E-004,1.00000000E-002,3,2,1,9.20358957E+000,4.71039145E-001,8.73255043E+000
240.470000,1.00000000E-004,1.00000000E-002,3,2,1,4.92700910E+000,3.42508289E+000,1.50192621E+000
249.540000,1.00000000E-004,1.00000000E-003,3,2,1,4.80010333E+000,2.14297297E+000,2.65713036E+000
250.490000,1.00000000E-004,1.00000000E-001,2,1,1,3.70731285E+000,2.03993325E+000,1.66737960E+000
