Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
69.700000,1.58489319e-02,3.894677e+10,2.015348e+11,2.404816e+11,1.270734e+05,3
70.500000,3.98107171e-04,1.288384e+07,7.755330e+06,2.063917e+07,1.702912e+03,5
79.500000,1.00000000e-01,3.775167e+08,1.344630e+08,5.119796e+08,8.971486e+03,3
79.800000,1.00000000e-04,4.387691e+06,3.054527e+06,7.442217e+06,1.112687e+03,3
80.300000,1.58489319e-04,3.143033e+06,2.091475e+06,5.234508e+06,9.377683e+02,3
80.500000,1.00000000e-04,8.740781e+06,9.225367e+06,1.796615e+07,1.873931e+03,5
84.500000,1.99526231e-04,2.461896e+07,4.721737e+06,2.934069e+07,1.941367e+03,5
85.400000,5.01187234e-02,7.392153e+06,7.668877e+06,1.506103e+07,1.606512e+03,2
89.500000,1.25892541e-04,4.292241e+06,6.448713e+06,1.074095e+07,1.258376e+03,5
90.500000,1.58489319e-03,2.359662e+07,9.566983e+06,3.316361e+07,1.976099e+03,2
