Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
97.450000,1.00000000e-01,1.472635e+12,9.115700e+12,2.513071e+09,0.000000e+00,2
99.550000,1.00000000e-02,6.866730e+10,8.901602e+10,6.519479e+07,1.024861e-01,4
101.560000,1.00000000e-01,5.827314e+09,3.177822e+10,4.206529e+06,0.000000e+00,2
102.610000,1.00000000e-02,5.387280e+04,1.430407e+05,2.098434e+01,2.151178e-01,2
104.570000,1.00000000e-02,5.308751e+04,1.095681e+05,3.942107e+01,2.021728e-01,2
105.490000,1.00000000e-02,5.137587e+04,1.314491e+05,3.902420e+01,1.410229e-01,2
107.520000,1.00000000e-02,5.419155e+04,1.641252e+05,3.247125e+01,2.074237e-01,4
108.490000,1.00000000e-02,5.440583e+04,1.407088e+05,3.920621e+01,2.241708e-01,2
109.520000,1.00000000e-02,5.601280e+04,2.570546e+05,5.204329e+01,1.982681e-01,2
110.480000,1.00000000e-02,5.447188e+04,1.447507e+05,2.482299e+01,2.272119e-01,3
