Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2322Sap.xlsx
Generated: 13-Jul-2026 08:22:09
Total temperatures: 69

Aggregate summary
Mean selected lambda: 7.82913612E-004
Mean real-part CV: 1.12668972E+010
Mean imag-part CV: 1.26380337E+010
Mean total CV: 2.39049308E+010
Mean absolute residual: 7.04405607E+003
Mean peak count: 2.2609
Max peak count: 4

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.480000,1.00000000E-003,3.37496726E+010,5.53034045E+010,8.90530771E+010,9.07553428E+004,2
1.610000,1.00000000E-002,7.08803313E+011,7.78837701E+011,1.48764101E+012,2.03473962E+005,1
2.140000,3.16227766E-003,3.06458876E+010,3.45083064E+010,6.51541940E+010,6.62376364E+004,2
4.520000,3.16227766E-003,1.24643539E+009,1.01221955E+009,2.25865493E+009,1.68866558E+004,1
5.310000,1.00000000E-002,1.82244009E+009,1.21558562E+009,3.03802572E+009,1.78310514E+004,2
7.560000,1.00000000E-003,3.88303816E+008,2.31412297E+008,6.19716113E+008,8.85254617E+003,2
8.440000,1.00000000E-002,1.69599223E+008,3.06994677E+008,4.76593900E+008,8.52047373E+003,1
9.510000,1.00000000E-002,1.33264135E+008,1.98914401E+008,3.32178536E+008,7.40137000E+003,1
14.510000,3.16227766E-005,8.08834217E+007,6.19609272E+007,1.42844349E+008,4.56837566E+003,3
15.370000,3.16227766E-006,1.34600598E+008,8.70872902E+007,2.21687888E+008,4.91116976E+003,3
19.520000,1.00000000E-008,4.76926762E+007,4.58300792E+007,9.35227554E+007,3.71011222E+003,3
20.390000,1.00000000E-008,4.56958043E+007,6.20529323E+007,1.07748737E+008,3.61396894E+003,3
29.570000,3.16227766E-004,2.36104484E+007,2.50961455E+007,4.87065940E+007,2.68278550E+003,2
30.440000,1.00000000E-004,1.72418556E+007,2.84223292E+007,4.56641847E+007,2.57674316E+003,2
39.560000,3.16227766E-005,1.23731254E+007,1.51536764E+007,2.75268018E+007,2.12922655E+003,2
49.560000,1.00000000E-008,1.09596731E+007,1.11710735E+007,2.21307466E+007,1.85757533E+003,3
59.530000,1.00000000E-008,6.30423408E+006,8.23121935E+006,1.45354534E+007,1.52799100E+003,3
69.550000,1.00000000E-004,4.36976466E+006,4.63426466E+006,9.00402932E+006,1.31603960E+003,3
79.520000,3.16227766E-005,4.38382660E+006,2.97350767E+006,7.35733427E+006,1.21905829E+003,3
80.360000,1.00000000E-005,4.90692250E+006,3.71511016E+006,8.62203266E+006,1.14404027E+003,2
84.520000,3.16227766E-005,2.71159996E+006,3.66173533E+006,6.37333529E+006,1.16984336E+003,3
85.380000,3.16227766E-004,3.34602635E+006,2.40098395E+006,5.74701030E+006,1.09782881E+003,2
89.510000,1.00000000E-008,3.42665822E+006,2.59381684E+006,6.02047506E+006,1.07916584E+003,3
90.400000,1.00000000E-008,3.56261401E+006,2.49419489E+006,6.05680891E+006,1.04668877E+003,2
94.530000,3.16227766E-005,1.91208576E+006,2.73194933E+006,4.64403510E+006,1.00782669E+003,3
95.430000,1.00000000E-004,2.66051491E+006,1.68279332E+006,4.34330823E+006,9.92128153E+002,2
96.530000,3.16227766E-005,2.63493783E+006,2.12316276E+006,4.75810058E+006,9.82288219E+002,3
97.460000,1.00000000E-004,2.05789935E+006,2.48469077E+006,4.54259012E+006,9.96587539E+002,4
99.520000,3.16227766E-005,1.44001775E+006,2.56349557E+006,4.00351332E+006,9.59433439E+002,2
100.470000,3.16227766E-005,2.68776964E+006,2.06280312E+006,4.75057275E+006,9.23527651E+002,2
101.570000,1.00000000E-005,2.73539272E+006,1.77690252E+006,4.51229523E+006,9.49181301E+002,2
102.560000,1.00000000E-005,1.58851977E+006,2.32991205E+006,3.91843182E+006,9.39851910E+002,3
104.540000,1.00000000E-004,2.04902888E+006,1.36627017E+006,3.41529905E+006,8.60594366E+002,2
105.470000,1.00000000E-006,1.33687044E+006,2.19647833E+006,3.53334877E+006,8.89622213E+002,3
107.530000,1.00000000E-004,1.81350372E+006,1.53870162E+006,3.35220534E+006,8.72422542E+002,2
108.400000,3.16227766E-004,1.76246499E+006,1.55376607E+006,3.31623106E+006,8.91232311E+002,2
109.560000,1.00000000E-008,1.98178044E+006,1.61864722E+006,3.60042766E+006,8.37655617E+002,2
119.560000,1.00000000E-004,1.11996074E+006,1.29758474E+006,2.41754548E+006,7.69686445E+002,2
129.540000,1.00000000E-004,7.68979239E+005,1.25143468E+006,2.02041392E+006,7.39900483E+002,2
