Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
4.650000,5.01187234e-03,3.899188e+04,5.019976e+04,8.919164e+04,1.679569e+02,2
4.670000,3.98107171e-03,4.232073e+04,4.720035e+04,8.952108e+04,1.638663e+02,3
4.680000,5.01187234e-03,3.737327e+04,4.729358e+04,8.466685e+04,1.620303e+02,2
4.690000,3.98107171e-03,3.585103e+04,4.699604e+04,8.284708e+04,1.621555e+02,2
4.700000,5.01187234e-03,3.650443e+04,4.704336e+04,8.354779e+04,1.618873e+02,2
4.710000,5.01187234e-03,3.876722e+04,4.724819e+04,8.601541e+04,1.642791e+02,2
4.720000,5.01187234e-03,3.710718e+04,4.726743e+04,8.437461e+04,1.636901e+02,2
4.730000,3.98107171e-03,3.678200e+04,4.764176e+04,8.442376e+04,1.635923e+02,2
4.740000,5.01187234e-03,3.780359e+04,4.735219e+04,8.515578e+04,1.637508e+02,2
4.750000,3.98107171e-03,3.573563e+04,4.685431e+04,8.258994e+04,1.645116e+02,2
